,Hike,Region,Length,gain,highpoint,rating,rating_count,summary,feats,Good for kids,Fall foliage,Rivers,Wildflowers/Meadows,Ridges/passes,Dogs allowed on leash,Mountain views,Old growth,Summits,Waterfalls,Lakes,Established campsites,Dogs not allowed,Wildlife,Coast,summary_score,neg,neu,pos,Lon,Lat
1740,Round Pass Trail,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,1.0,362.0,3885.0,,0,a lovely alternate to walking the west side road the round pass trail heads east to the south puyallup trail,"['Mountain views', 'Dogs not allowed']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5859,0.0,0.826,0.174,,
1741,Naches Trail,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,11.4,2600.0,5100.0,,0,the naches trail takes visitors along the same route that pioneers took in horse drawn wagons in the 1800s it is now a hiking trail that leads to a scenic meadow and a historic cabin,"['Wildlife', 'Dogs allowed on leash']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-121.3986897,47.0926806
1742,McCormick Forest Park,OLYMPIC PENINSULA -- KITSAP PENINSULA,3.0,200.0,400.0,3.75,4,a 122 acre park near gig harbor with trails that offer a wide range of difficulty from flat to 200 foot elevation gains,"['Dogs allowed on leash', 'Old growth', 'Good for kids', 'Wildlife', 'Fall foliage']",1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.101,0.798,0.101,-122.61646401536453,47.3508281
1743,Hope Island Marine State Park,OLYMPIC PENINSULA -- HOOD CANAL,7.0,,,,0,this isolated little island in south puget sound attracts boaters to explore it short shoreline and hiking trail,"['Wildlife', 'Established campsites', 'Coast']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1027,0.11,0.762,0.129,-122.92874724884712,47.18714475
1744,High Hut,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,5.5,1660.0,4760.0,5.0,2,high hut is the highlight of the mount tahoma trail system from the warmth of a cozy alpine hut enjoy some of the best views in the southern cascades,"['Mountain views', 'Wildlife', 'Established campsites', 'Summits', 'Good for kids', 'Dogs allowed on leash']",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9153,0.0,0.652,0.348,-122.02543104571063,46.6967396
1745,Rock Creek Sno-Park,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,20.0,2500.0,,,0,a motorized sno park where cross country skiers and snowshoers can also get a good workout,['Mountain views'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4404,0.0,0.818,0.182,,
1746,Yelm-Tenino Trail,OLYMPIC PENINSULA -- OLYMPIA,29.0,0.0,0.0,,0,linking the cities of yelm and tenino this paved trail offers a delightful jaunt through a greenspace just east of olympia,"['Wildflowers/Meadows', 'Dogs allowed on leash', 'Good for kids', 'Rivers']",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5859,0.0,0.826,0.174,-122.6022284,46.9449493
1747,Twin Harbors State Park,OLYMPIC PENINSULA -- OLYMPIA,,,,,0,twin harbors state park offers miles and miles of beach roaming whether you re searching for treasure looking for life birds or simply hunting for clams and other sea critters,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.0,0.929,0.071,-124.11156668220673,46.85427975
1748,Sol Duc Falls,OLYMPIC PENINSULA -- NORTHERN COAST,1.6,200.0,1951.0,4.0,22,marvel at old growth trees amid a lush rain forest landscape while visiting one of olympic national park s most beloved attractions sol duc falls,"['Wildflowers/Meadows', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Dogs not allowed', 'Rivers']",1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9016,0.0,0.611,0.389,-123.8198613,47.9517587
1749,Midtown Park,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,,,,,0,this forest is located in the heart of bonney lake offering a place to walk on trails beneath the trees,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-75.54965665547337,39.74455815
1750,Spruce Nature Trail (Hoh),OLYMPIC PENINSULA -- PACIFIC COAST,1.2,,,3.5,6,enjoy an easy 1 2 mile loop near the hoh rain forest visitor center pair it with the hall of mosses for a couple of nice flat exploratory leg stretchers in the hoh both make for an interesting introduction to the area and will be a hit with the kids,"['Old growth', 'Good for kids', 'Wildlife', 'Rivers']",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.891,0.0,0.784,0.216,,
1751,Rialto Beach and Hole-in-the-Wall,OLYMPIC PENINSULA -- PACIFIC COAST,4.0,0.0,0.0,4.15,26,spend a day strolling the rugged olympic coast to dramatic sea stacks and natural wonders,"['Wildlife', 'Good for kids', 'Dogs not allowed', 'Established campsites', 'Coast']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.3612,0.0,0.839,0.161,,
1752,Yauger Park,OLYMPIC PENINSULA -- OLYMPIA,1.0,37.0,159.0,,0,this loop around a green park is perfect for a quick nature walk right in the city,"['Dogs allowed on leash', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5719,0.0,0.791,0.209,-122.9427258718541,47.0434793
1753,Tumac Mountain Loop,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,13.5,2400.0,6340.0,,0,nestled far from civilization at the end of deep creek you will likely have this glorious loop to yourself a brief three mile section of the famous pacific crest trail makes up the western link of this loop,"['Mountain views', 'Dogs allowed on leash', 'Summits', 'Lakes']",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7184,0.0,0.878,0.122,,
1754,Ira Spring Wetland,OLYMPIC PENINSULA -- PACIFIC COAST,2.9,300.0,400.0,4.0,1,discover the true beauty of the bogachiel rain forest on the ira spring wetland trail this short trail will take you on a loop through a fern forest and around a large wetland while leashed dogs are allowed in on the ira wetland trail they are not allowed in the olympic national park the boundary of which is 1 6 miles along the bogachiel trail,"['Dogs allowed on leash', 'Old growth', 'Good for kids', 'Wildlife', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.765,0.0,0.898,0.102,,
1755,Railroad Bridge Park,OLYMPIC PENINSULA -- NORTHERN COAST,,0.0,,3.0,4,this delightful little park is part of the olympic discovery trail which means you can hike as far as time allows or as little as you like you ll see salmon spawning in the fall interpretive signs year round and can watch the seasons turn by visiting as often as you like,"['Dogs allowed on leash', 'Good for kids', 'Fall foliage', 'Rivers']",1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8059,0.0,0.856,0.144,,
1756,Dosewallips State Park - Steam Donkey Trail,OLYMPIC PENINSULA -- HOOD CANAL,3.5,400.0,425.0,2.91,11,the 3 5 mile steam donkey loop trail is an especially good choice in spring with lots of creeklets views of the dosewallips river and silent forest there is a strong chance that you will see wildlife in winter and spring an elk herd resides in the area and with the estuary so close the area is rife with bird life as an added bonus for fall hikers you can search for and pick chanterelle mushrooms,"['Wildlife', 'Old growth', 'Rivers', 'Good for kids', 'Dogs allowed on leash', 'Coast']",1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8999,0.0,0.852,0.148,,
1757,Green Mountain - Davis Trail,OLYMPIC PENINSULA -- KITSAP PENINSULA,4.0,120.0,800.0,5.0,1,this trails is a relatively flat path paralleling gold creek in the green mountain state forest a dynamic working forest that is certainly a land of many uses the trails are open to hikers mountain bikers and horseback riders,['Dogs allowed on leash'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6124,0.0,0.872,0.128,,
1758,Goat Creek,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,9.8,3400.0,6473.0,4.0,1,the goat creek trail ascends at a moderate pace from the bumping river valley up to american ridge and goat peak the trail can be accessed via the cougar flat campground,"['Ridges/passes', 'Dogs allowed on leash', 'Established campsites', 'Summits', 'Lakes', 'Rivers']",0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-121.9407253,46.7590659
1759,Nisqually Vista Loop,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,1.1,200.0,5400.0,3.82,11,follow the trails here to views of mount rainier rocky nisqually river valley and the much receded nisqually glacier,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Good for kids']",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,
1760,Burfoot County Park,OLYMPIC PENINSULA -- OLYMPIA,6.0,150.0,200.0,3.33,6,a charming little escape on budd inlet just north of the city of olympia,"['Dogs allowed on leash', 'Good for kids', 'Coast']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6378,0.0,0.679,0.321,,
1761,Olympic Discovery Trail,OLYMPIC PENINSULA -- NORTHERN COAST,253.2,,,3.5,2,a still under construction route along the north part of the olympic peninsula the olympic discovery trail odt will eventually span nearly 130 miles and be usable by bikes walkers runners strollers and in some places equestrians,"['Mountain views', 'Wildlife', 'Dogs allowed on leash', 'Good for kids', 'Lakes', 'Coast']",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-123.0048719,48.0207556
1762,Longmire to Paradise,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,12.0,2700.0,3600.0,4.25,4,hike on the wonderland trail to three waterfalls on the paradise river,"['Mountain views', 'Established campsites', 'Waterfalls', 'Old growth', 'Dogs not allowed', 'Rivers']",0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.6369,0.0,0.724,0.276,-121.7393795,46.7849166
1763,Skyline Trail Loop,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,5.5,1450.0,6800.0,4.61,70,the skyline trail is the main route for hiking out of paradise mount rainier s south side hub and most popular destination providing visitors a unique opportunity to experience the breathtaking beauty of washington s grandest mountain even before the historic paradise inn was constructed in 1916 the paradise valley has long been one of the state s most beloved hiking destinations because of its southern exposure giving it a longer season than its north side counterpart sunrise in peak season july and august your trip along the skyline trail will be filled with views of cascading waterfalls mighty glaciers and subalpine meadows brimming with colorful splashes of lupines mountain heather scarlet paintbrush cascade asters and bistort,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Waterfalls', 'Dogs not allowed', 'Rivers']",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.9879,0.0,0.746,0.254,,
1764,Ueland Tree Farm,OLYMPIC PENINSULA -- KITSAP PENINSULA,14.0,,,4.0,1,ueland tree farm is a parcel of private property that is made available to the public for responsible non motorized recreation,"['Dogs allowed on leash', 'Summits', 'Fall foliage']",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3182,0.0,0.892,0.108,,
1765,Longmire to South Puyallup River,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,24.0,4200.0,5600.0,,0,explore the iconic wonderland trail along the southwestern slopes of mount rainier enjoy stunning views of the mountain as well as the surrounding peaks ridges and creeks,"['Wildflowers/Meadows', 'Ridges/passes', 'Established campsites', 'Mountain views', 'Old growth', 'Rivers']",0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7845,0.0,0.752,0.248,,
1766,Valhalla Peak,OLYMPIC PENINSULA -- HOOD CANAL,8.0,2900.0,5345.0,4.0,6,valhalla peak is a modest summit located in the olympic national forest and can be reached via the tunnel creek trailhead or via dosewallips road,"['Wildflowers/Meadows', 'Mountain views', 'Summits', 'Established campsites', 'Rivers']",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1027,0.0,0.943,0.057,-121.140378,47.7892771
1767,Golden Gate Loop,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,4.0,1160.0,6400.0,4.5,4,follow a loop trail that samples what mount rainier has to offer a popular waterfall vast expanses of wildflowers numerous snowmelt streams a historic monument to the mountain s first climbers and of course views of mount rainier itself,"['Wildflowers/Meadows', 'Mountain views', 'Ridges/passes', 'Dogs not allowed', 'Waterfalls', 'Rivers']",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4215,0.0,0.924,0.076,,
1768,Poulsbo Fish Park,OLYMPIC PENINSULA -- KITSAP PENINSULA,3.0,60.0,80.0,5.0,1,fish park is a 40 acre park just north of downtown poulsbo with a wonderful network of trails that run along the liberty bay estuary,"['Wildlife', 'Good for kids', 'Dogs allowed on leash', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7964,0.0,0.747,0.253,,
1769,Alderbrook Nature Trails,OLYMPIC PENINSULA -- HOOD CANAL,9.2,600.0,460.0,4.5,2,there are lots of options to piece together a hike of up to 5 miles on this forested loop on the slopes above the hood canal,['Dogs allowed on leash'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
1770,Glacial Heritage Preserve,OLYMPIC PENINSULA -- OLYMPIA,,,,3.0,1,this preserve is located a few miles from the mima mounds near littlerock it provides a peek into the puget prairie ecosystem that greeted settlers who came here in the 1800 s thurston county parks department owns this small parcel of land a tiny remaining fraction of the prairies of old,['Wildflowers/Meadows'],0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2732,0.0,0.956,0.044,-123.04192095458424,46.864749
1771,Hilburn Preserve,OLYMPIC PENINSULA -- OLYMPIA,4.0,,,,0,meandering along goldsborough creek through 9 4 acre hilburn preserve the trail follows the water from clay cliffs to muddy banks the river s edge is lined with rows of bare white alder trunks in the winter or bright green foliage in the summer and the surrounding forest is made up of a mixture of coniferous and deciduous trees a range of fern species and epiphytes blending from one type to the next,"['Dogs not allowed', 'Wildlife', 'Good for kids', 'Lakes', 'Rivers']",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.4404,0.0,0.959,0.041,-123.1320164,47.2078157
1772,Garfield Nature Trail,OLYMPIC PENINSULA -- OLYMPIA,0.7,,,,0,this short and sweet neighborhood trail on the west side of olympia will take hikers through a quiet forested ravine and out to views of the puget sound,"['Dogs allowed on leash', 'Good for kids', 'Fall foliage']",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4588,0.0,0.897,0.103,-122.91504807316065,47.05037005
1773,Glacier View,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,4.4,950.0,5450.0,4.1,21,climb a ridge to a rocky promontory nine miles due west of tahoma s summit and experience multi volcano jaw dropping views under clear conditions glacier view s short but moderately intense route is ideal for lovers of huckleberries wildflowers old growth forest mushrooms fauna and lakes,"['Wildflowers/Meadows', 'Ridges/passes', 'Wildlife', 'Mountain views', 'Old growth', 'Summits', 'Good for kids', 'Dogs allowed on leash']",1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9418,0.0,0.706,0.294,-121.952883,46.8189962
1774,Banner Forest,OLYMPIC PENINSULA -- KITSAP PENINSULA,4.0,50.0,430.0,3.5,2,banner forest heritage park is one square mile of undeveloped forest and wetland on the kitsap peninsula with an extensive trail network an easy grade and well maintained trails invite all ages and abilities to enjoy this prime section of land,"['Wildlife', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage']",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8689,0.0,0.753,0.247,-122.55641376999054,47.4841752
1775,Bottle Beach State Park,OLYMPIC PENINSULA -- PACIFIC COAST,1.4,,,,0,with 6 000 feet of shoreline and an ada accessible trail visitors can travel along the coast and keep an eye out for the numerous species that fill the air,"['Dogs not allowed', 'Good for kids', 'Coast']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-124.03860122808203,46.89662945
1776,Grand Valley - Cameron Creek Loop,OLYMPIC PENINSULA -- NORTHERN COAST,30.8,10945.0,6628.0,,0,hike up and down and up again and down again and then up one more time around this loop in the northern part of olympic national park you ll get stunning mountain views pass tranquil lakes and laze around in gorgeous alpine meadows and you ll need that break because the elevation gain on this one is no joke,"['Mountain views', 'Established campsites', 'Ridges/passes', 'Dogs not allowed', 'Lakes', 'Rivers']",0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8807,0.032,0.773,0.195,,
1777,Grand Park via Lake Eleanor,MOUNT RAINIER AREA -- NE - SUNRISE/WHITE RIVER,8.0,1100.0,5630.0,4.5,40,the classic approach via sunrise to this sea of meadows and wildflowers at the base of mount rainier is long and tough putting grand park out of reach for most casual dayhikers instead try this backdoor approach via lake eleanor to enjoy this stunning destination,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Established campsites', 'Dogs not allowed', 'Rivers']",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.8718,0.028,0.737,0.234,,
1778,Lightning Peak,OLYMPIC PENINSULA -- HOOD CANAL,8.0,4100.0,4654.0,,0,lightning peak is a class 3 and involves exposed scrambling gear and experience recommended,"['Wildflowers/Meadows', 'Mountain views', 'Summits']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,0.099,0.763,0.137,-123.3487756,47.491201
1779,Illahee State Park,OLYMPIC PENINSULA -- KITSAP PENINSULA,1.0,,,5.0,1,find this tiny gem of a state park on the kitsap peninsula tucked between bainbridge island and bremerton vistors here will find prime beachside meandering and a relaxing atmosphere enhanced by the dense forest typical of land in the puget sound area,"['Mountain views', 'Wildlife', 'Established campsites', 'Old growth', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage', 'Coast']",1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.4939,0.0,0.924,0.076,-122.59805138482093,47.59852155
1780,Lake Angeles,OLYMPIC PENINSULA -- NORTHERN COAST,7.4,2350.0,4196.0,3.4,20,get up close and personal with an enchanting glacier sculpted landscape at olympic national park s lake angeles,"['Dogs not allowed', 'Lakes', 'Established campsites']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-123.43364946963811,48.0063234
1781,Smokey Bottom (West Lake Mills),OLYMPIC PENINSULA -- NORTHERN COAST,4.0,500.0,800.0,3.75,4,formerly a trail that bordered lake mills the smokey bottom trail winds through the second growth forest along the now free flowing elwha river,"['Mountain views', 'Wildlife', 'Old growth', 'Good for kids', 'Dogs not allowed', 'Fall foliage', 'Rivers']",1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7096,0.0,0.781,0.219,,
1782,Kloshe Nanitch,OLYMPIC PENINSULA -- NORTHERN COAST,6.4,2200.0,3160.0,3.67,9,hike to a former fire lookout site on the olympic peninsula fires are now patrolled by aircraft here but the beautiful rugged surroundings can still be reviewed by hikers from the lookout with a name that draws on a chinook phrase that translates to take care,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Summits']",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8735,0.033,0.779,0.188,-124.079125,48.0805473
1783,Kestner Homestead - Maple Glade,OLYMPIC PENINSULA -- PACIFIC COAST,1.5,30.0,260.0,4.0,4,this short interpretive takes you through a homestead from the 1800s relics from the past along the way include an old barn the home that the kestner and higley families occupied and various outbuildings and equipment they used,['Dogs not allowed'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
1784,Lake James,MOUNT RAINIER AREA -- NW - CARBON RIVER/MOWICH,22.0,3450.0,,3.0,5,the way to lake james offers a myriad of experiences from deep rainforest to the high country of mount rainier national park undertake an ambitious dayhike or be more leisurely about it and make it a backpacking trip,"['Mountain views', 'Old growth', 'Dogs not allowed', 'Established campsites', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4767,0.0,0.919,0.081,-121.73502044249477,46.96612485
1785,LaCrosse Pass,OLYMPIC PENINSULA -- HOOD CANAL,12.8,2000.0,5566.0,2.5,4,the lacrosse pass trail runs up and over the ridge between the west fork dosewallips river valley and the duckabush river valley,"['Wildflowers/Meadows', 'Mountain views', 'Dogs not allowed', 'Rivers', 'Ridges/passes']",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-123.2907027,47.6858925
1786,Klapatche Park,MOUNT RAINIER AREA -- NW - CARBON RIVER/MOWICH,21.4,3300.0,6000.0,4.0,5,the wonderland trail has been described as magical hiking through a wispy clouded august sky to the many glaciers river valleys and high alpine meadows all while traveling through the through rainier backcountry klapatche park will give you a chance to experience the wonderland trail with only 21 miles of hiking,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Established campsites', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.2023,0.024,0.936,0.04,-121.87344723398172,46.835319299999995
1787,LaCrosse Basin,OLYMPIC PENINSULA -- HOOD CANAL,37.0,5588.0,4400.0,3.0,6,nestled deep within the heart of the olympics lacrosse basin is steeped in rich history as well as views that never relent,"['Ridges/passes', 'Wildlife', 'Dogs not allowed', 'Lakes', 'Rivers']",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6908,0.0,0.778,0.222,-123.3629464,47.6558575
1788,Kennedy Creek Natural Area Preserve,OLYMPIC PENINSULA -- OLYMPIA,18.0,420.0,,4.25,4,home to a small trail system and made accessible thanks to taylor shellfish and green diamond in partnership with a local nonprofit and department of natural resources kennedy creek is a nice walk where in fall you can experience spawning salmon up close,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Dogs not allowed', 'Good for kids', 'Rivers']",1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8625,0.0,0.773,0.227,-123.07423209780735,47.0955831
1789,Klahhane Ridge Snowshoe,OLYMPIC PENINSULA -- NORTHERN COAST,4.0,1500.0,6080.0,2.0,2,a snowshoe route along a ridgeline above the hurricane ridge parking area maybe difficult or impossible to access in winter,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3612,0.128,0.872,0.0,,
1790,Lake of the Angels,OLYMPIC PENINSULA -- HOOD CANAL,7.0,3400.0,4950.0,4.44,27,tucked high in the mountains of the olympic peninsula in the appropriately named valley of heaven is a breathtaking lake the lake of the angels the heavenly goal is accessed by a trail built for more mortal interests keep in mind though if you tackle this trail it devilishly difficult in some places it requires a vertical climb where falling is not an option be prepared both physically and mentally for this challenging hike,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Waterfalls', 'Dogs not allowed', 'Lakes']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.86,0.079,0.73,0.191,-123.2735872091362,47.59657895
1791,Kalaloch - Browns Point,OLYMPIC PENINSULA -- PACIFIC COAST,4.0,25.0,25.0,3.88,8,wild and mercurial the olympic coast has a special appeal in the spring and fall grassy bluffs cliffside caves and tidal pools are all to be found along this four mile beach hike near the kalaloch campground so shrug on your rain gear and enjoy the bird watching sense of solitude and stunning seascapes,"['Dogs allowed on leash', 'Good for kids', 'Coast']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8176,0.0,0.855,0.145,,
1792,Iron Mountain,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,,,,,0,climb a peak near mount rainier for infrequently seen views of washington most famous peak climbing experience and equipment required,"['Mountain views', 'Summits', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-121.82871,46.7931638
1793,Kautz Creek Snowshoe,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,8.0,2800.0,5300.0,4.0,2,kautz creek is a rewarding snowshoe trek for those willing to put in the effort you ll find sweeping views of the tatoosh range and mount rainier but those come only after enduring four steadily uphill largely view free miles,['Mountain views'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7684,0.0,0.848,0.152,,
1794,Jefferson Ridge,OLYMPIC PENINSULA -- HOOD CANAL,4.8,1832.0,3832.0,3.5,6,in an area known for rhododendrons and stunning mountain views find a relatively easy hike to a high ridgeline that used to house a fire lookout tower,"['Mountain views', 'Dogs allowed on leash', 'Good for kids', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4767,0.083,0.727,0.19,-122.1786929,47.4892974
1795,Hurricane Ridge Snowshoe,OLYMPIC PENINSULA -- NORTHERN COAST,6.0,800.0,5757.0,3.67,12,whether you re an expert or a first timer hurricane ridge in olympic national park is one of the most spectacular places to snowshoe in washington state and on clear days you ll be treated to bird s eye views of mount olympus in all her winter splendor,"['Mountain views', 'Dogs not allowed', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.765,0.0,0.87,0.13,,
