,Hike,Region,Length,gain,highpoint,rating,rating_count,summary,feats,Good for kids,Fall foliage,Rivers,Wildflowers/Meadows,Ridges/passes,Dogs allowed on leash,Mountain views,Old growth,Summits,Waterfalls,Lakes,Established campsites,Dogs not allowed,Wildlife,Coast
1837,Goat Island Mountain,MOUNT RAINIER AREA -- NE - SUNRISE/WHITE RIVER,,,7288.0,4.5,2,The route to the top of Goat Island Mountain is not on true trail but is more of a scramble.,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1838,Goat Falls,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,1.0,230.0,3060.0,3.2,5,This is a short hike through a lush forest canyon with Goat Creek cascading gently beside you all the way.,"['Dogs allowed on leash', 'Good for kids', 'Waterfalls']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1839,Gladys Divide,OLYMPIC PENINSULA -- HOOD CANAL,18.0,4000.0,5050.0,3.44,9,Find solitude among expansive views of the Olympic interior on this strenuous but rewarding backpack.,"['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Dogs not allowed', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1840,Goat Peak Snowshoe,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,5.6,2600.0,6473.0,3.33,3,"Goat Peak is best tackled when this trail is snow-free. When snow is present, the route can pose extreme avalanche danger and requires route-finding expertise.",[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1841,Goat Peak,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,6.5,3200.0,6473.0,3.71,17,"Goat Peak offers expansive views into the William O. Douglas Wilderness and beyond. Once the site of a U.S. Forest Service lookout, Goat Peak’s 6,400-foot summit showcases such impressive gems as the Goat Rocks, Bumping Lake, Mount Rainier, Fife’s Peak, and the Stuart Range.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Ridges/passes', 'Summits', 'Dogs allowed on leash']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1842,Franklin Ghost Town,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,2.5,200.0,800.0,3.12,25,"Follow a gentle old railroad grade into the coal-mining ghost town of Franklin, along the Green River near Black Diamond. It’s an easy walk up to the coal cart and sealed mine shaft. Follow the narrow footpath beyond to discover the powerhouse foundation and cemetery.","['Old growth', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage']",1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1843,Four Stream,OLYMPIC PENINSULA -- HOOD CANAL,,,,2.57,7,A short hike near the Staircase area of Olympic National Park.,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1844,Elwha To Hurricane Hill,OLYMPIC PENINSULA -- NORTHERN COAST,11.6,5248.0,5650.0,3.0,4,Climb steeply out of the Elwha River Valley to impressive views of the Bailey Range and wide-open meadows on this trail that accesses Hurricane Hill the back way.,"['Wildflowers/Meadows', 'Mountain views', 'Dogs not allowed', 'Rivers', 'Ridges/passes']",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1845,Elwha River and Lillian River,OLYMPIC PENINSULA -- NORTHERN COAST,13.5,1200.0,2500.0,4.17,6,"Take a long, rolling trail deep into quiet forest. Admire enormous trees, see a historic cabin, and find true solitude on the banks of Lillian River.","['Wildlife', 'Dogs not allowed', 'Established campsites', 'Old growth', 'Lakes', 'Rivers']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
1846,Fairfax Ghost Town,MOUNT RAINIER AREA -- NW - CARBON RIVER/MOWICH,2.35,104.0,1446.0,4.0,2,"Once a booming coal town, Fairfax Ghost Town is an adventure of exploration and discovery. Expect thick vegetation and undefined trails once you arrive at the town site, so pack a good sense of direction, plenty of time and a thirst for exploration is highly recommended.","['Wildflowers/Meadows', 'Wildlife', 'Good for kids', 'Fall foliage', 'Rivers']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1847,Tahoma Creek Suspension Bridge - Emerald Ridge Loop,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,14.2,3100.0,5600.0,3.12,8,"Ever wanted to hike the Wonderland Trail, but have time for only a sneak peek? Here’s how to enjoy a sampling of the Wonderland’s spectacular scenery—in a single day!","['Mountain views', 'Dogs not allowed']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1848,Fort Flagler State Park,OLYMPIC PENINSULA -- HOOD CANAL,5.0,150.0,150.0,2.67,9,Fort Flagler State Park is one of five impressive military installations that were established in close proximity to protect Puget Sound from invaders during times of war.,"['Wildlife', 'Good for kids', 'Dogs allowed on leash', 'Established campsites', 'Coast']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1849,Elk Lakes,OLYMPIC PENINSULA -- HOOD CANAL,4.9,400.0,1200.0,2.4,5,"This hiker-only trail makes for a quick way to sample the ecosystem on the east slope of the Olympic mountains. Plus, it's a decent starter backpacking trip for kids and makes for a nice day for birdwatchers.","['Wildflowers/Meadows', 'Old growth', 'Good for kids', 'Wildlife', 'Lakes']",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1850,Emmons Moraine,MOUNT RAINIER AREA -- NE - SUNRISE/WHITE RIVER,3.0,900.0,5200.0,3.93,14,This short trail crosses the Inter Fork of the White River to views of The Mountain's largest glacier and the valley carved by this river of ice.,"['Mountain views', 'Dogs not allowed', 'Lakes', 'Rivers']",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1851,Fallsview Canyon (Falls View),OLYMPIC PENINSULA -- HOOD CANAL,1.5,300.0,400.0,3.43,7,"Here are two quick and easy trails to view an unnamed waterfall splashing 100 feet down into the Big Quilcene River. Though the campground is seasonal, the trails are open year round. Bring the dog and the kids, stretch your legs, and take in some fantastic scenery located 4 miles south of Quilcene, immediately off of Olympic Highway 101.","['Wildlife', 'Waterfalls', 'Good for kids', 'Dogs allowed on leash', 'Fall foliage', 'Rivers']",1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1852,Flapjack Lakes via North Fork Skokomish River,OLYMPIC PENINSULA -- HOOD CANAL,15.4,3050.0,3850.0,4.06,17,"This is a burly day trip, but a great overnight destination for exploring the Sawtooth Range in the Olympic high country.","['Dogs not allowed', 'Rivers', 'Lakes', 'Established campsites', 'Waterfalls']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
1853,Forest Lake,MOUNT RAINIER AREA -- NE - SUNRISE/WHITE RIVER,4.4,1250.0,6920.0,4.0,4,Forest lake is a small lake in the Sunrise area of Mount Rainier.,"['Wildflowers/Meadows', 'Ridges/passes', 'Wildlife', 'Established campsites', 'Mountain views', 'Dogs not allowed', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
1854,Florence Peak,MOUNT RAINIER AREA -- NW - CARBON RIVER/MOWICH,8.0,3700.0,,,0,A scramble up to a peak just off the Alki Crest Trail in Mount Rainier National Park. Climbing experience and equipment strongly recommended.,"['Mountain views', 'Summits']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1855,Federation Forest State Park,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,5.0,150.0,1800.0,3.25,12,"Green, mossy old growth trees and miles of level hiking are the main attractions at Federation Forest State Park. More than 12 miles of trails wind through the forest and hikers can put together loops to fit their hiking needs.","['Old growth', 'Good for kids', 'Dogs allowed on leash', 'Rivers']",1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1856,Fletcher Canyon,OLYMPIC PENINSULA -- PACIFIC COAST,4.6,1300.0,1600.0,3.0,8,"The Fletcher Canyon Trail is a disproportionately difficult hike for being little more than two miles long. Perhaps because the route is steep and often muddy, obscured by blowdown, or faded entirely, it earns its ire and accolades. Individual accounts may be forgiven for their embellishments, especially those recalled fireside at the lodge tavern on a wet winter’s eve.","['Old growth', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1857,Elip Creek,OLYMPIC PENINSULA -- OLYMPIA,9.2,3100.0,3760.0,2.6,5,"Elip Creek is a wild and challenging hike for those seeking an alternate approach to the Skyline Trail. It also makes a fine 21-mile loop by connecting to the Three Lakes and Big Creek trails, a route that climbs to subalpine meadows where picturesque tarns lie in solitude beneath tree studded ridges.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Ridges/passes', 'Old growth', 'Dogs not allowed']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1858,Ericson's Bay,OLYMPIC PENINSULA -- PACIFIC COAST,11.5,,,4.0,4,The trail to Ericson's Bay is primitive and no longer maintained by Olympic National Park.,"['Dogs not allowed', 'Lakes', 'Established campsites', 'Coast']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
1859,Dry Creek,OLYMPIC PENINSULA -- HOOD CANAL,6.0,800.0,1600.0,2.67,6,"Climb through second-growth forest to a not-so-dry creek, while enjoying spring wildflowers and views of nearby Lake Cushman and surrounding peaks.","['Dogs allowed on leash', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1860,Marmot Pass via Upper Dungeness River Trail,OLYMPIC PENINSULA -- HOOD CANAL,16.2,3500.0,6000.0,4.18,17,"The Upper Dungeness Trail is a gateway trail. It is not only a great hike all by itself --on the way to its end at Marmot Pass it links to other high reward hikes in the northeast Olympics – Royal Basin, Goat Lake, Heather Creek, and Home Lake. From Marmot Pass one can continue to either the Upper Big Quilcene or Tubal Cain Trail.","['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash', 'Established campsites', 'Mountain views', 'Old growth', 'Rivers']",0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1861,Dosewallips River Road,OLYMPIC PENINSULA -- HOOD CANAL,13.0,1200.0,1550.0,4.06,17,"The Dosewallips River Road is the gateway to the eastern Olympic Mountains and it penetrates one of the deepest canyons in Olympic National Park. Now closed to vehicles, the old road bed allows hikers to explore true wilderness at a gentle grade. Backpackers, peak baggers, and horseback riders take advantage of the easy access to the trails beyond the road's end.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Rivers']",1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1862,Edith Creek Basin Snowshoe,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,,,,3.5,4,Edith Creek Basin is a popular Mount Rainier snowshoeing area. The basin lies north of Paradise and connects to Panorama Point.,['Dogs not allowed'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1863,Elbo Creek,OLYMPIC PENINSULA -- HOOD CANAL,9.6,2880.0,3700.0,3.0,6,"This steep but shady trail features a rhododendron forest, and numerous saprophytic plants. At the end, it connects to a Forest Service road, allowing for additional wandering, to find views of Hood Canal and more.","['Wildflowers/Meadows', 'Old growth']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1864,Eagle and Chutla Peaks Trail Snowshoe,MOUNT RAINIER AREA,7.0,2900.0,5600.0,1.67,3,A snowshoe outside of Longmire at Mount Rainer.,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1865,Eagle Peak Saddle,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,7.2,2910.0,5720.0,3.92,12,"This hike contains all of what a classic Rainier outing should – a quiet canopy of old-growth forest, high alpine meadows bursting with wildflowers in the summer, and in-your-face-views of glaciated Mount Tahoma (not to mention Mounts Adams, St. Helens, and even Hood on a crystal clear day).","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Ridges/passes', 'Old growth', 'Dogs not allowed']",0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1866,Doe Falls,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,7.25,1720.0,4320.0,2.86,7,"The infrequently visited trail to Doe Falls is a good option for hikers preparing for summer hiking. Because of its lower elevation, this hike is snow-free earlier in the year than most in this area, allowing for a pleasant hike to a secluded waterfall early in the season.",['Dogs allowed on leash'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1867,Deadfall,OLYMPIC PENINSULA -- HOOD CANAL,7.6,2240.0,4273.0,3.18,11,"A longer, steeper, pass free, alternate route to the summit of Mount Zion.","['Mountain views', 'Dogs allowed on leash', 'Summits']",0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1868,Deer Creek Falls,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,1.0,280.0,3200.0,3.33,9,"If you don’t have the time or the inclination for the longer hike to Owyhigh Lakes, you can take a bite off the bigger trail and zip down about half a mile to see the charming 62-foot tiered falls of Deer Creek and a pair of footbridges traversing creeks flanked by a dense old forest.","['Wildlife', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Dogs not allowed', 'Rivers']",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1869,Deep Creek,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,8.0,3000.0,5850.0,2.33,6,Start at the junction with the White River Trail 1199 and climb through old growth timber. At mile .5 find a spur trail to left with a view of the White River Valley. Come to another scenic view of Mt. Rainier and the valley at mile 3.6. The junction with Noble Knob Trail 1184 is just ahead at mile 4.,"['Mountain views', 'Rivers', 'Ridges/passes']",0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1870,Deadhorse Creek,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,3.25,800.0,5820.0,4.43,7,"This trail offers a more intimate view of the Nisqually Glacier valley, and connects to the Moraine Trail from the Paradise parking area.","['Mountain views', 'Dogs not allowed', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1871,Dirty Face Ridge,OLYMPIC PENINSULA -- HOOD CANAL,7.5,3000.0,6280.0,4.12,8,"Here's a great backdoor access to Mount Townsend. You’ll likely have company at the summit, but this route offers solitude to get there, along with some sweeping views, plus steeps to work those quads! Consider why it's so infrequently used -- a sign at the trailhead warns of grades up to 40% in places! It's short, but there's nothing sweet about it.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Summits', 'Ridges/passes']",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1872,Deer Creek to Tipsoo Lake,MOUNT RAINIER AREA -- SE - CAYUSE PASS/STEVENS CANYON,10.0,2850.0,5375.0,2.33,3,"This trail offers passage through magnificent old growth forest, and past sparkling clear streams. It may not be as scenic as other trails in the area, but it requires no parking pass or entrance fee to enjoy the beauty of Mount Rainier.","['Mountain views', 'Dogs not allowed', 'Waterfalls', 'Old growth', 'Lakes', 'Rivers']",0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1873,Dewey Lake,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,6.0,1270.0,5900.0,3.92,26,"To misquote a famous author, this hike can be ""the best of trips or the worst of trips"". Done in the right season, it has beautiful flowers, ripe berries, expansive views, great campsites, fishing, and swimming. Done in the wrong season, it has treacherous avalanche chute crossings, wet trail, no flowers, muddy campsites, and horrendous bugs.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Established campsites', 'Good for kids', 'Lakes']",1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1874,Dege Peak,MOUNT RAINIER AREA -- NE - SUNRISE/WHITE RIVER,4.0,600.0,7006.0,4.0,18,"Unlike many of the trails out of Sunrise Visitor Center that lead you closer to the hulking presence of Mount Rainier, Dege Peak walks you just far enough away from the mountain to get a little perspective. With stunning 360-degree views ranging from nearby Cowlitz Chimneys to the far-off peaks of Mount St. Helens, Mount Adams, Glacier Peak and Mount Baker, this perch above Sourdough Ridge is terrific for an easy alpine stroll on a clear day.","['Mountain views', 'Wildlife', 'Good for kids', 'Ridges/passes']",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1875,Dodger Point,OLYMPIC PENINSULA -- NORTHERN COAST,27.0,4983.0,5753.0,3.25,4,"Backpack on primitive trails to Dodger Point Camp in the heart of Olympic National Park for unparalleled views of high, snowy peaks towering above deep forested valleys.","['Mountain views', 'Dogs not allowed', 'Summits', 'Established campsites']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1876,Denman Falls,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,15.5,,,,0,"A little-known, yet spectacular waterfall, Denman Falls offers a relatively easy hike to it, if you can bear the 7.25 mile approach.",['Waterfalls'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1877,Copper Mountain,OLYMPIC PENINSULA -- HOOD CANAL,5.0,4400.0,,,0,"A scramble over snow and rock under the summit of Copper Mountain. If you're attempting this in winter, be careful of cornices. Climbing experience and equipment required.",['Summits'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1878,Copper Creek Hut Snowshoe,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,8.8,1040.0,4200.0,3.75,4,"Yes, there really is a hut on the Copper Creek Hut trail and it’s open to the public! The Mount Tahoma Trails Association, a non-profit organization, operates over fifty miles of cross country ski and snowshoe trails and a system of huts for day and overnight use near Ashford, just west of Mount Rainier National Park.","['Mountain views', 'Wildlife', 'Good for kids']",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1879,Crow Lake Way,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,12.4,3340.0,5850.0,2.6,5,"Are you looking for an early summer, dry-side, flowered workout? The eastern third of this trail is for you, with its many flowers and increasing views over the American River valley. Just be ready for the stark nature of the fire ravaged forest.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Lakes', 'Dogs allowed on leash']",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1880,Copper Creek,OLYMPIC PENINSULA -- HOOD CANAL,5.0,2400.0,3200.0,3.61,23,"Whatever you like most about hiking, this trail has something for you, whether it’s a quick ascent, a period of more level ground, a peek-a-boo view, a quintessential Olympic Peninsula rain forest, or a ridge top.","['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash', 'Mountain views', 'Old growth', 'Waterfalls', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1881,Crystal Mountain Resort Snowshoe Trails,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,9.0,,,,0,There are 6 designated snowshoe trails at Crystal Mountain Resort forming a network in Bullion Basin.,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1882,Copper Mountain,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,,3868.0,6280.0,,0,Climb to the summit of a peak near Mount Rainier. Climbing experience and equipment required.,"['Mountain views', 'Summits', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1883,Corral Pass Snowshoe,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,11.5,2800.0,5700.0,,0,"This is a snowshoe hike that follows Corral Pass Road, starting at the intersection with highway 410.","['Wildflowers/Meadows', 'Mountain views', 'Summits']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1884,Dalles Ridge,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,1.8,200.0,5700.0,4.0,6,Dalles Ridge is the primary way that hikers access the popular Noble Knob Trail and Ranger Creek. It provides hikers with a beautiful ridge walk after a steady climb from the trailhead.,"['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Summits']",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1885,Cora Lake,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,6.0,400.0,3800.0,4.11,9,Enjoy this easy hike through massive trees with great views of a lovely lake and an impressive lookout towering over it all.,"['Dogs allowed on leash', 'Established campsites', 'Waterfalls', 'Old growth', 'Good for kids', 'Lakes', 'Fall foliage', 'Rivers']",1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1886,Crystal Lakes,MOUNT RAINIER AREA -- NE - SUNRISE/WHITE RIVER,6.0,2600.0,5828.0,4.3,44,"Take a short but steep hike on a wide trail to visit two lakes in a beautiful craggy setting. It's only three miles to the upper lake, with 2,600 feet of elevation gain. In season find many wildflowers in the basin near the upper lake, and be alert for wildlife sightings.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Dogs not allowed', 'Established campsites', 'Old growth', 'Lakes']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
1887,Crystal Peak,MOUNT RAINIER AREA -- NE - SUNRISE/WHITE RIVER,8.0,3100.0,6595.0,4.1,30,"Check the weather before heading out for this hike, and if it’s going to be clear, bring a camera. From the summit, it’s possible to see six (yes, six!) volcanoes spanning two states. Baker, Glacier, Adams, Rainier, St. Helens and Hood wait patiently for you to climb the more-than-moderately steep path to the summit of Crystal Peak, where you can take in beautiful snow-capped majesty from the top.","['Wildflowers/Meadows', 'Mountain views', 'Wildlife', 'Old growth', 'Summits', 'Dogs not allowed']",0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1888,Crystal Mountain Loop (Silver King),MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,6.0,2450.0,6800.0,3.4,5,"This page describes the options for doing a loop hike around the ski slopes, which is the ridge west of Crystal Mountain Boulevard.","['Mountain views', 'Dogs allowed on leash', 'Good for kids', 'Ridges/passes']",1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889,Cougar Lakes,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,12.0,1700.0,5400.0,2.57,7,"Ford a river, climb through forest and end at two lakes in the heart of a wilderness area -- Cougar Lake is a gorgeous respite for hikers in the William O. Douglas wilderness.","['Wildflowers/Meadows', 'Mountain views', 'Dogs allowed on leash', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1890,Comet Falls,MOUNT RAINIER AREA -- SW - LONGMIRE/PARADISE,3.8,1250.0,4875.0,4.21,42,"Follow a tumbling, churning, whitewater creek upstream as it thunders through a narrow gorge of glacier-polished rock on your way to a waterfall that drops 301 feet in a single plunge. Admire numerous small waterfalls and cascades and two significant ones, all in less than two miles. This is the Comet Falls trail.","['Dogs not allowed', 'Rivers', 'Waterfalls']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1891,Pete's Creek - Colonel Bob Peak,OLYMPIC PENINSULA -- PACIFIC COAST,8.2,3500.0,4510.0,4.58,26,"This peak allows for unrivaled views of the Olympic Peninsula. Located on the southwest side of the park, views include the Pacific Ocean, Grays Harbor, Lake Quinault and the Quinault River, the Olympic rainforest and Mount Olympus.","['Mountain views', 'Old growth', 'Summits', 'Dogs allowed on leash', 'Rivers']",0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1892,Constance Pass,OLYMPIC PENINSULA -- HOOD CANAL,15.6,,6080.0,4.4,5,"The Constance Pass Trail climbs from the Dosewallips River, over the pass and on to the border between Olympic National Park and the Buckhorn Wilderness in Olympic National Forest","['Mountain views', 'Dogs not allowed', 'Lakes', 'Established campsites', 'Ridges/passes']",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1893,Clear West Peak,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,2.0,900.0,5400.0,2.25,4,The trail up Clear West Peak is inaccessible due to Road 74 being blocked and gated.,"['Mountain views', 'Wildlife', 'Good for kids', 'Dogs allowed on leash']",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1894,Chinook Pass Snowshoe,MOUNT RAINIER AREA -- CHINOOK PASS - HWY 410,,,,3.25,4,A snowshoe up Hwy 410 towards Chinook Pass from the gate at Morse Creek.,['Mountain views'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1895,Colonel Bob Trail - Colonel Bob Peak,OLYMPIC PENINSULA -- PACIFIC COAST,14.0,4292.0,4492.0,4.0,1,"Start at 200 feet above sea level and climb to a lofty, scenic peak of 4492 feet on a long, switchbacking trail through stunning old growth forest. WTA has done a lot of work on this trail to improve it after a huge storm in 2007.","['Mountain views', 'Old growth', 'Summits', 'Wildlife', 'Established campsites']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1896,Church Creek,OLYMPIC PENINSULA -- OLYMPIA,6.4,2300.0,3200.0,3.0,5,"With wildflowers at your feet, wander among old-growth giants on this off-the-beaten-path trail on the southeastern side of the Olympics.","['Wildflowers/Meadows', 'Ridges/passes', 'Dogs allowed on leash', 'Waterfalls', 'Old growth', 'Lakes', 'Rivers']",0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
